model,synth_spearman,synth_ks_test,synth_delta,nat_spearman,nat_ks_test,nat_delta,real_spearman,real_ks_test,real_delta,overall_spearman,overall_ks_test,overall_delta
blip1_dsg,0.7989103235451331,0.8476440982986666,0.432009635838217,0.6957168190867716,0.7220494505494506,0.24096636137432967,0.5854600233339059,0.7053578807718524,0.25002853952885606,0.745759436771893,0.8036067255592241,0.3710791288408312
fuyu_dsg,0.3509995866601547,0.6567500539014455,0.1917446979870178,0.1493664253016958,0.6852350427350428,0.0401768106965989,0.15152613607837573,0.5209061637810308,0.043010079414264865,0.28539013756419673,0.6371903684914328,0.14263863058780377
instruct_blip_dsg,0.8379964182998805,0.8749027531487747,0.45678588915569673,0.6915737925685598,0.8058962148962149,0.25875774170773075,0.588609204255992,0.7206682360652091,0.24843759548719532,0.7719794798116635,0.8373393322291542,0.3901628333824502
llava-alt_dsg,0.7965332219490238,0.8398275173565649,0.4404871382607305,0.6442736964411461,0.7639945054945055,0.2505121610628468,0.5254228697471841,0.6697620328402918,0.23713323463695413,0.7258138986062949,0.798447369795817,0.3759620616847511
llava_dsg,0.792218274376057,0.8557765988313699,0.41812031020417234,0.6591847081632176,0.8069017094017095,0.24788188166788522,0.67726242314474,0.7289310786216099,0.2855202951968929,0.7518573117031528,0.8260772514263727,0.3690211517276979
mplug_dsg,0.7252801846698685,0.8006852548211129,0.3884096371574932,0.5959971614103098,0.714427960927961,0.19735739622033516,0.5572398322093101,0.7410223681606802,0.25763948478556475,0.6761574828344432,0.7771297635454681,0.3364784829622515
blip1_tifa,0.7572388209884466,0.8322533284466748,0.3076015973455192,0.6066906912465719,0.7756715506715507,0.16845142026267035,0.6173794328466307,0.7669082625682648,0.19406854859852204,0.7098471512935406,0.8121954414475715,0.2665639437653123
fuyu_tifa,0.4303489708466221,0.6587125660486008,0.14225355254148012,0.21567984948742316,0.7549273504273504,0.03510286006368131,0.25017965615620913,0.6152893280809884,0.07703327839344601,0.36615722442236787,0.6656586006450129,0.11455564186125007
instruct_blip_tifa,0.7704760172886126,0.861756236898576,0.3167228910667453,0.656342441406504,0.8182777777777779,0.18336947833759343,0.6971918698772412,0.7836941961017035,0.22591629242746503,0.7403028071553853,0.8414485965280957,0.2805578808923942
llava-alt_tifa,0.7602928958192713,0.8478469513141035,0.3196079287784113,0.6136356272061145,0.7558113553113553,0.1806225534129145,0.6150742079304984,0.7345622539608396,0.2070464701641559,0.7125488130065237,0.8139915202637195,0.2787660094817396
llava_tifa,0.7688257114975938,0.8512335841588214,0.30674925404701103,0.6125495360574894,0.7524652014652016,0.1956720778907204,0.6346897374091673,0.7520629670073149,0.2146695517441888,0.721572089469915,0.8188386904331596,0.27373567361859213
mplug_tifa,0.6880969453759384,0.7925725007209226,0.26999893164209693,0.6617720173403022,0.8371929181929181,0.18256515975926432,0.642510457055354,0.7593716980141257,0.20289354003284266,0.6760961492414665,0.7934978774379091,0.24495710949822302
alignscore,0.7374396525755823,0.9421221503301566,0.23343676987412587,0.6863419608724751,0.9239285714285714,0.1118080402930403,0.6034182248367201,0.8751349133223045,0.12279966540168118,0.70614229683616,0.9275920330830817,0.19556286521213775
blipscore,-0.03813232997060824,0.7441563288960957,-0.01967393677482687,-0.024593715148633448,0.8801349206349207,-0.04268217338217339,-0.0685789030844122,0.7461548753333651,-0.01409704395083725,-0.041432240575159415,0.7651104055030741,-0.022179852067481198
clipscore,0.7105360467287556,0.9025561473503264,0.20333934757939554,0.5596417328362585,0.9135634920634921,0.09206691697191698,0.688826577424197,0.9044933368521038,0.1223881521640101,0.6838576682006062,0.9045644025829368,0.1722521025355583
gpt4v_tifa,0.8169156113808673,0.8626986561878512,0.2655959923539588,0.5803712070895235,0.7997112332112332,0.13912514467110196,0.6625252264003335,0.7175276369670115,0.167590504500143,0.7539402703401457,0.8276402008434888,0.2292085357489159
gpt4v_dsg,0.8113806878558167,0.8638581421876439,0.4319643577199054,0.6923887560147053,0.8099810744810745,0.250686116393475,0.7059883184851342,0.7549795574339275,0.323250410490011,0.774828099929892,0.836558714002662,0.3853906577027678
